Cliente_ID,Nome_Cliente,CNPJ_CPF,Data_Vencimento,Valor_Devido,Valor_Pago,Cidade,Regiao
81,Cliente 81,11.222.333/0001-99,2023-06-07,2461.95,8449.45,São Paulo,Sudeste
82,Cliente 82,22.333.444/0001-88,2026-10-14,522.96,31480.61,Rio,Sul
83,Cliente 83,11.222.333/0001-99,2024-08-11,33147.04,61300.77,BH,Sul
84,Cliente 84,22.333.444/0001-88,2024-04-10,2178.2,111184.29,São Paulo,Sudeste
85,Cliente 85,11.222.333/0001-99,2024-03-21,8035.5,15105.54,Rio,Sul
86,Cliente 86,11.222.333/0001-99,2025-03-11,12662.15,121940.12,Rio,Sul
87,Cliente 87,22.333.444/0001-88,2026-01-01,1596.34,149542.66,São Paulo,Sul
88,Cliente 88,11.222.333/0001-99,2025-07-17,341.86,118238.65,São Paulo,Sul
89,Cliente 89,22.333.444/0001-88,2023-01-17,3614.65,71060.48,BH,Sudeste
90,Cliente 90,22.333.444/0001-88,2024-12-31,3532.78,85224.03,São Paulo,Sul
91,Cliente 91,22.333.444/0001-88,2023-11-22,4515.61,924.08,São Paulo,Sudeste
92,Cliente 92,22.333.444/0001-88,2025-09-21,4550.64,31391.08,São Paulo,Sudeste
93,Cliente 93,22.333.444/0001-88,2024-09-04,2444.8,134848.22,Rio,Sudeste
94,Cliente 94,22.333.444/0001-88,2024-06-29,2315.65,3259.41,BH,Sudeste
95,Cliente 95,22.333.444/0001-88,2024-08-18,7456.08,135719.24,BH,Sul
96,Cliente 96,22.333.444/0001-88,2025-07-09,1550.91,16987.89,BH,Sul
97,Cliente 97,22.333.444/0001-88,2025-04-21,4300.76,19961.12,Rio,Sul
98,Cliente 98,22.333.444/0001-88,2026-05-10,2234.69,26302.49,São Paulo,Sul
99,Cliente 99,22.333.444/0001-88,2023-12-10,7434.21,119907.8,Rio,Sudeste
100,Cliente 100,11.222.333/0001-99,2025-05-08,23202.3,71727.99,BH,Sudeste
101,Cliente 101,11.222.333/0001-99,2026-11-24,24566.25,21779.49,São Paulo,Sudeste
102,Cliente 102,22.333.444/0001-88,2026-05-26,29881.87,103020.27,São Paulo,Sul
103,Cliente 103,22.333.444/0001-88,2024-03-20,3078.72,141103.25,BH,Sudeste
104,Cliente 104,22.333.444/0001-88,2023-08-10,3463.15,85867.72,São Paulo,Sudeste
105,Cliente 105,22.333.444/0001-88,2026-11-07,831.7,14805.0,Rio,Sul
106,Cliente 106,22.333.444/0001-88,2024-08-14,3042.49,8212.59,BH,Sudeste
107,Cliente 107,22.333.444/0001-88,2025-10-27,3198.47,119380.85,Rio,Sudeste
108,Cliente 108,22.333.444/0001-88,2026-07-19,2071.43,93912.55,São Paulo,Sul
109,Cliente 109,22.333.444/0001-88,2025-10-14,2058.0,138398.6,BH,Sudeste
110,Cliente 110,11.222.333/0001-99,2023-01-16,456.33,82087.52,São Paulo,Sudeste
111,Cliente 111,22.333.444/0001-88,2026-12-18,750.94,9359.31,BH,Sudeste
112,Cliente 112,11.222.333/0001-99,2024-06-07,5231.02,60553.03,BH,Sudeste
113,Cliente 113,22.333.444/0001-88,2025-03-13,5513.21,98698.6,BH,Sudeste
114,Cliente 114,22.333.444/0001-88,2023-01-21,9665.11,57732.8,BH,Sul
115,Cliente 115,11.222.333/0001-99,2023-08-16,3420.52,149938.71,BH,Sudeste
116,Cliente 116,22.333.444/0001-88,2025-10-04,4995.62,60806.79,São Paulo,Sudeste
117,Cliente 117,11.222.333/0001-99,2026-08-04,28302.72,81935.42,BH,Sul
118,Cliente 118,22.333.444/0001-88,2025-03-19,4563.93,33808.8,Rio,Sul
119,Cliente 119,22.333.444/0001-88,2026-03-03,2028.6,22820.73,BH,Sudeste
120,Cliente 120,11.222.333/0001-99,2026-07-30,927.67,96795.83,Rio,Sul
121,Cliente 121,22.333.444/0001-88,2024-02-08,15010.0,88291.91,São Paulo,Sudeste
122,Cliente 122,11.222.333/0001-99,2025-12-25,452.74,650.83,BH,Sudeste
123,Cliente 123,22.333.444/0001-88,2024-03-12,1519.62,42717.23,BH,Sul
124,Cliente 124,11.222.333/0001-99,2025-04-08,8830.89,96536.94,Rio,Sudeste
125,Cliente 125,11.222.333/0001-99,2025-07-22,340.64,121837.4,BH,Sul
126,Cliente 126,22.333.444/0001-88,2023-09-16,2079.54,46855.3,São Paulo,Sudeste
127,Cliente 127,22.333.444/0001-88,2023-04-13,5888.96,97115.46,São Paulo,Sul
128,Cliente 128,11.222.333/0001-99,2025-09-19,2873.62,39788.69,BH,Sul
129,Cliente 129,22.333.444/0001-88,2025-02-07,1241.7,103556.98,Rio,Sudeste
130,Cliente 130,22.333.444/0001-88,2026-01-29,2141.32,104692.2,São Paulo,Sul
131,Cliente 131,22.333.444/0001-88,2026-05-06,15425.51,19533.52,BH,Sudeste
132,Cliente 132,11.222.333/0001-99,2025-03-23,63826.79,99763.47,Rio,Sudeste
133,Cliente 133,11.222.333/0001-99,2023-08-14,5974.67,50035.08,Rio,Sudeste
134,Cliente 134,11.222.333/0001-99,2025-07-31,303.81,25889.24,São Paulo,Sudeste
135,Cliente 135,11.222.333/0001-99,2024-04-07,10887.2,75054.18,BH,Sul
136,Cliente 136,11.222.333/0001-99,2023-08-25,2821.61,67844.5,São Paulo,Sudeste
137,Cliente 137,11.222.333/0001-99,2025-11-15,1060.41,116081.22,Rio,Sul
138,Cliente 138,11.222.333/0001-99,2026-02-18,1602.98,12677.33,São Paulo,Sul
139,Cliente 139,11.222.333/0001-99,2024-05-20,1701.21,118462.99,BH,Sudeste
140,Cliente 140,11.222.333/0001-99,2026-04-20,681.85,15912.35,São Paulo,Sudeste
141,Cliente 141,22.333.444/0001-88,2025-03-24,4499.42,31118.85,Rio,Sudeste
142,Cliente 142,11.222.333/0001-99,2025-02-05,63538.77,77382.32,São Paulo,Sudeste
143,Cliente 143,22.333.444/0001-88,2024-09-25,1054.83,69476.19,Rio,Sul
144,Cliente 144,22.333.444/0001-88,2026-08-31,60857.23,148328.85,Rio,Sul
145,Cliente 145,22.333.444/0001-88,2025-09-17,6577.19,88421.06,Rio,Sul
146,Cliente 146,11.222.333/0001-99,2024-09-09,4315.39,49115.34,São Paulo,Sudeste
147,Cliente 147,11.222.333/0001-99,2023-09-30,3131.46,135022.33,BH,Sudeste
148,Cliente 148,11.222.333/0001-99,2023-08-20,1589.86,46832.24,Rio,Sudeste
149,Cliente 149,11.222.333/0001-99,2026-12-14,7395.25,41066.35,São Paulo,Sul
150,Cliente 150,22.333.444/0001-88,2025-02-06,10206.4,74155.77,Rio,Sudeste
151,Cliente 151,11.222.333/0001-99,2024-05-10,164.81,136976.22,São Paulo,Sul
152,Cliente 152,11.222.333/0001-99,2025-11-13,172862.83,106277.14,Rio,Sudeste
153,Cliente 153,11.222.333/0001-99,2026-02-06,389.4,101622.48,São Paulo,Sul
154,Cliente 154,11.222.333/0001-99,2024-05-16,2365.49,108911.59,Rio,Sudeste
155,Cliente 155,11.222.333/0001-99,2023-01-25,136.78,98946.09,Rio,Sudeste
156,Cliente 156,22.333.444/0001-88,2026-04-25,3377.62,113969.45,Rio,Sul
157,Cliente 157,11.222.333/0001-99,2023-10-15,2575.89,28914.3,BH,Sul
158,Cliente 158,22.333.444/0001-88,2023-12-04,2400.97,26588.74,São Paulo,Sul
159,Cliente 159,11.222.333/0001-99,2025-11-26,7525.61,54324.5,BH,Sul
160,Cliente 160,22.333.444/0001-88,2023-05-17,3493.51,127643.97,São Paulo,Sul
161,Cliente 161,11.222.333/0001-99,2024-05-22,10444.04,107168.13,Rio,Sul
162,Cliente 162,11.222.333/0001-99,2023-08-15,869.34,84971.0,São Paulo,Sul
163,Cliente 163,22.333.444/0001-88,2023-11-16,5477.13,2917.12,São Paulo,Sul
164,Cliente 164,22.333.444/0001-88,2025-07-04,2029.71,35370.34,Rio,Sul
165,Cliente 165,22.333.444/0001-88,2026-04-20,2926.39,120527.09,Rio,Sul
166,Cliente 166,11.222.333/0001-99,2023-03-27,7175.93,36373.0,Rio,Sul
167,Cliente 167,22.333.444/0001-88,2025-07-14,2425.93,109543.53,São Paulo,Sudeste
168,Cliente 168,11.222.333/0001-99,2023-02-22,4241.91,27695.14,Rio,Sul
169,Cliente 169,11.222.333/0001-99,2025-05-09,976.58,90955.13,Rio,Sul
170,Cliente 170,22.333.444/0001-88,2025-05-16,22781.8,94231.71,São Paulo,Sul
171,Cliente 171,22.333.444/0001-88,2026-06-12,13627.18,112794.93,BH,Sul
172,Cliente 172,11.222.333/0001-99,2024-03-08,5653.2,65751.36,São Paulo,Sul
173,Cliente 173,11.222.333/0001-99,2025-09-25,3499.15,94901.2,São Paulo,Sudeste
174,Cliente 174,22.333.444/0001-88,2023-04-10,4246.62,73045.47,São Paulo,Sudeste
175,Cliente 175,22.333.444/0001-88,2025-09-16,22106.63,142100.71,Rio,Sul
176,Cliente 176,22.333.444/0001-88,2024-08-21,12340.57,78282.11,São Paulo,Sul
177,Cliente 177,11.222.333/0001-99,2024-02-07,22633.4,31439.68,BH,Sul
178,Cliente 178,11.222.333/0001-99,2024-01-31,3045.29,100183.88,São Paulo,Sul
179,Cliente 179,11.222.333/0001-99,2024-02-19,9669.76,82270.1,São Paulo,Sudeste
180,Cliente 180,11.222.333/0001-99,2025-07-27,25955.62,120574.42,Rio,Sul
181,Cliente 181,11.222.333/0001-99,2024-11-07,1343.99,26536.74,Rio,Sudeste
182,Cliente 182,11.222.333/0001-99,2024-04-07,1230.7,39140.94,BH,Sudeste
183,Cliente 183,22.333.444/0001-88,2024-06-24,7224.88,138244.37,São Paulo,Sudeste
184,Cliente 184,11.222.333/0001-99,2026-10-19,872.25,139503.92,São Paulo,Sudeste
185,Cliente 185,11.222.333/0001-99,2026-02-27,386.78,66338.51,São Paulo,Sul
186,Cliente 186,11.222.333/0001-99,2023-03-25,25450.84,7162.68,São Paulo,Sudeste
187,Cliente 187,22.333.444/0001-88,2023-09-28,32482.54,45983.26,São Paulo,Sul
188,Cliente 188,11.222.333/0001-99,2023-09-01,941.97,37068.4,São Paulo,Sudeste
189,Cliente 189,11.222.333/0001-99,2024-01-23,661.97,62201.53,Rio,Sul
190,Cliente 190,22.333.444/0001-88,2023-08-02,1969.5,47670.09,BH,Sul
191,Cliente 191,11.222.333/0001-99,2025-03-28,28393.96,124348.85,São Paulo,Sudeste
192,Cliente 192,11.222.333/0001-99,2026-04-04,2765.47,455.4,São Paulo,Sudeste
193,Cliente 193,11.222.333/0001-99,2023-02-28,5611.5,96694.78,Rio,Sudeste
194,Cliente 194,11.222.333/0001-99,2025-06-01,7745.68,99640.53,São Paulo,Sudeste
195,Cliente 195,11.222.333/0001-99,2025-04-22,6269.09,99093.99,Rio,Sul
196,Cliente 196,22.333.444/0001-88,2025-07-12,39803.08,78089.2,BH,Sudeste
197,Cliente 197,22.333.444/0001-88,2023-05-03,1793.91,91665.61,São Paulo,Sudeste
198,Cliente 198,22.333.444/0001-88,2026-12-07,4259.51,121574.15,BH,Sul
199,Cliente 199,11.222.333/0001-99,2026-03-08,6804.88,117629.52,São Paulo,Sul
200,Cliente 200,11.222.333/0001-99,2026-06-06,4588.95,5193.81,BH,Sul
201,Cliente 201,11.222.333/0001-99,2026-07-21,891.81,4565.48,BH,Sul
202,Cliente 202,22.333.444/0001-88,2024-03-14,625.44,125841.72,São Paulo,Sul
203,Cliente 203,11.222.333/0001-99,2025-10-18,607.37,86209.45,BH,Sudeste
204,Cliente 204,11.222.333/0001-99,2024-07-15,13585.48,143614.1,Rio,Sudeste
205,Cliente 205,22.333.444/0001-88,2023-04-28,1558.43,64738.74,Rio,Sudeste
206,Cliente 206,11.222.333/0001-99,2025-06-23,9480.43,26511.27,BH,Sul
207,Cliente 207,22.333.444/0001-88,2024-01-30,5549.37,70985.24,BH,Sudeste
208,Cliente 208,22.333.444/0001-88,2025-05-25,1255.39,65481.65,Rio,Sudeste
209,Cliente 209,22.333.444/0001-88,2025-07-23,1300.03,77576.61,São Paulo,Sudeste
210,Cliente 210,11.222.333/0001-99,2026-01-06,5929.04,121192.09,Rio,Sul
211,Cliente 211,11.222.333/0001-99,2025-08-09,5479.44,98337.6,BH,Sul
212,Cliente 212,11.222.333/0001-99,2026-12-06,9787.34,27791.3,Rio,Sudeste
213,Cliente 213,11.222.333/0001-99,2023-03-16,2590.21,110171.59,São Paulo,Sudeste
214,Cliente 214,11.222.333/0001-99,2023-10-22,1502.08,88784.43,Rio,Sudeste
215,Cliente 215,11.222.333/0001-99,2023-01-21,5731.99,86746.61,São Paulo,Sudeste
216,Cliente 216,11.222.333/0001-99,2026-04-09,35878.26,101738.53,BH,Sul
217,Cliente 217,22.333.444/0001-88,2025-11-04,355.19,84594.82,Rio,Sul
218,Cliente 218,11.222.333/0001-99,2026-05-19,1605.72,68627.06,Rio,Sul
219,Cliente 219,22.333.444/0001-88,2024-07-13,11233.06,96057.04,São Paulo,Sul
220,Cliente 220,11.222.333/0001-99,2026-01-14,6654.71,108559.06,Rio,Sul
221,Cliente 221,11.222.333/0001-99,2026-03-18,11464.69,33865.04,Rio,Sudeste
222,Cliente 222,11.222.333/0001-99,2024-01-07,2693.19,74557.48,São Paulo,Sul
223,Cliente 223,22.333.444/0001-88,2025-03-28,514.56,68725.87,Rio,Sul
224,Cliente 224,22.333.444/0001-88,2026-03-20,51025.96,5985.49,São Paulo,Sudeste
225,Cliente 225,22.333.444/0001-88,2026-03-10,22412.41,125165.8,BH,Sul
226,Cliente 226,22.333.444/0001-88,2025-12-28,4751.19,56607.3,Rio,Sudeste
227,Cliente 227,11.222.333/0001-99,2026-07-07,1512.74,10903.38,São Paulo,Sul
228,Cliente 228,22.333.444/0001-88,2025-04-25,2473.04,68684.86,São Paulo,Sul
229,Cliente 229,11.222.333/0001-99,2024-06-04,6773.12,24222.12,Rio,Sul
230,Cliente 230,11.222.333/0001-99,2024-01-06,3455.47,105662.16,São Paulo,Sudeste
231,Cliente 231,22.333.444/0001-88,2026-12-13,4816.01,85765.74,BH,Sudeste
232,Cliente 232,22.333.444/0001-88,2023-04-11,46825.92,40517.07,BH,Sudeste
233,Cliente 233,22.333.444/0001-88,2024-10-22,17910.55,142571.08,Rio,Sul
234,Cliente 234,22.333.444/0001-88,2025-08-25,954.24,43761.8,BH,Sudeste
235,Cliente 235,22.333.444/0001-88,2023-08-31,5473.57,83249.54,Rio,Sudeste
236,Cliente 236,22.333.444/0001-88,2025-01-22,2372.01,120235.17,Rio,Sul
237,Cliente 237,22.333.444/0001-88,2024-05-26,7458.58,77083.84,São Paulo,Sul
238,Cliente 238,22.333.444/0001-88,2025-04-28,4497.77,144128.35,São Paulo,Sul
239,Cliente 239,11.222.333/0001-99,2024-07-08,313256.71,126578.19,São Paulo,Sul
240,Cliente 240,22.333.444/0001-88,2026-01-23,8963.95,138152.85,São Paulo,Sudeste
241,Cliente 241,22.333.444/0001-88,2023-08-14,4073.03,55905.39,Rio,Sudeste
242,Cliente 242,11.222.333/0001-99,2023-08-02,64874.41,82253.31,São Paulo,Sudeste
243,Cliente 243,22.333.444/0001-88,2024-12-18,6553.6,126024.94,São Paulo,Sul
244,Cliente 244,11.222.333/0001-99,2023-03-08,586.27,135525.01,BH,Sul
245,Cliente 245,11.222.333/0001-99,2024-01-31,4128.93,141654.54,Rio,Sul
246,Cliente 246,22.333.444/0001-88,2024-09-03,11604.92,131872.8,BH,Sudeste
247,Cliente 247,11.222.333/0001-99,2025-11-01,9685.07,109613.24,BH,Sudeste
248,Cliente 248,11.222.333/0001-99,2026-06-14,20075.28,3632.22,BH,Sudeste
249,Cliente 249,11.222.333/0001-99,2025-02-08,6094.87,47243.02,São Paulo,Sudeste
250,Cliente 250,11.222.333/0001-99,2026-11-23,5521.23,19340.44,Rio,Sul
251,Cliente 251,22.333.444/0001-88,2024-02-11,689.89,23213.79,BH,Sul
252,Cliente 252,11.222.333/0001-99,2025-07-13,41764.05,43636.08,BH,Sul
253,Cliente 253,22.333.444/0001-88,2024-10-08,3204.0,11211.07,Rio,Sudeste
254,Cliente 254,11.222.333/0001-99,2023-08-10,1247.19,36454.77,São Paulo,Sudeste
255,Cliente 255,11.222.333/0001-99,2026-03-25,194671.94,143546.83,BH,Sudeste
256,Cliente 256,11.222.333/0001-99,2024-10-15,51643.52,46791.54,Rio,Sudeste
257,Cliente 257,11.222.333/0001-99,2024-03-03,2625.83,23956.96,São Paulo,Sul
258,Cliente 258,22.333.444/0001-88,2026-03-27,353.21,107745.03,São Paulo,Sul
259,Cliente 259,22.333.444/0001-88,2025-09-03,1797.48,124275.77,São Paulo,Sudeste
260,Cliente 260,11.222.333/0001-99,2026-12-10,44837.04,47105.68,São Paulo,Sudeste
261,Cliente 261,11.222.333/0001-99,2025-10-02,6294.29,41774.6,São Paulo,Sudeste
262,Cliente 262,22.333.444/0001-88,2026-09-11,743.07,36263.93,Rio,Sul
263,Cliente 263,11.222.333/0001-99,2024-01-06,14729.01,58989.19,São Paulo,Sudeste
264,Cliente 264,11.222.333/0001-99,2026-09-29,3663.59,13084.76,BH,Sudeste
265,Cliente 265,11.222.333/0001-99,2026-07-09,1981.91,100369.38,Rio,Sudeste
266,Cliente 266,22.333.444/0001-88,2026-07-30,2203.99,123333.95,BH,Sudeste
267,Cliente 267,22.333.444/0001-88,2025-04-29,30605.94,99552.34,BH,Sul
268,Cliente 268,22.333.444/0001-88,2025-05-05,10564.88,63179.95,São Paulo,Sul
269,Cliente 269,11.222.333/0001-99,2023-08-17,613.71,43344.34,São Paulo,Sul
270,Cliente 270,11.222.333/0001-99,2023-10-07,8217.85,61416.92,Rio,Sul
271,Cliente 271,22.333.444/0001-88,2026-08-06,5713.92,63575.62,Rio,Sul
272,Cliente 272,22.333.444/0001-88,2025-12-06,2728.29,99903.12,BH,Sudeste
273,Cliente 273,22.333.444/0001-88,2025-09-01,2937.3,139209.05,São Paulo,Sudeste
274,Cliente 274,22.333.444/0001-88,2026-05-22,1464.0,10587.97,São Paulo,Sudeste
275,Cliente 275,11.222.333/0001-99,2025-01-27,1943.92,143003.04,BH,Sudeste
276,Cliente 276,22.333.444/0001-88,2025-11-13,7373.24,136530.19,São Paulo,Sudeste
277,Cliente 277,11.222.333/0001-99,2023-11-17,3332.25,17659.85,Rio,Sudeste
278,Cliente 278,22.333.444/0001-88,2023-10-01,10550.77,27537.75,BH,Sul
279,Cliente 279,11.222.333/0001-99,2024-07-09,1637.67,46739.34,São Paulo,Sudeste
280,Cliente 280,22.333.444/0001-88,2025-04-23,13233.31,83949.91,BH,Sudeste
281,Cliente 281,22.333.444/0001-88,2026-08-29,30952.91,20171.43,São Paulo,Sul
282,Cliente 282,22.333.444/0001-88,2026-10-18,4868.31,30050.24,São Paulo,Sul
283,Cliente 283,22.333.444/0001-88,2024-10-29,10187.1,135401.29,São Paulo,Sul
284,Cliente 284,11.222.333/0001-99,2025-09-26,10759.02,16395.09,Rio,Sudeste
285,Cliente 285,22.333.444/0001-88,2024-01-15,2433.44,59831.74,BH,Sudeste
286,Cliente 286,11.222.333/0001-99,2024-12-11,10815.23,114450.27,Rio,Sul
287,Cliente 287,11.222.333/0001-99,2025-01-15,205.24,133287.47,Rio,Sul
288,Cliente 288,11.222.333/0001-99,2024-11-05,117.54,50406.38,BH,Sul
289,Cliente 289,11.222.333/0001-99,2023-04-26,3098.68,24665.63,BH,Sul
290,Cliente 290,22.333.444/0001-88,2024-08-27,11930.48,110551.75,São Paulo,Sudeste
291,Cliente 291,11.222.333/0001-99,2025-12-01,4363.04,115883.66,São Paulo,Sul
292,Cliente 292,11.222.333/0001-99,2024-01-14,13963.79,147005.02,BH,Sul
293,Cliente 293,11.222.333/0001-99,2026-05-14,913.76,20931.28,São Paulo,Sudeste
294,Cliente 294,22.333.444/0001-88,2024-04-10,16915.32,106413.13,São Paulo,Sudeste
295,Cliente 295,22.333.444/0001-88,2023-10-07,48066.35,62593.88,BH,Sul
296,Cliente 296,22.333.444/0001-88,2024-09-09,1853.86,137194.42,Rio,Sudeste
297,Cliente 297,22.333.444/0001-88,2023-04-28,14463.71,61174.63,BH,Sudeste
298,Cliente 298,11.222.333/0001-99,2026-06-14,5074.31,66894.06,BH,Sul
299,Cliente 299,11.222.333/0001-99,2023-11-05,9123.21,19019.49,Rio,Sul
